# alpha,err_l2,lambda_l2,err_l1,lambda_l1,err_huber,lambda_hub,huber_param,err_bo
1.000000000000000472e-01,9.694134740490536473e-01,2.200000011399843025e+00,9.717976214877617203e-01,1.530954732497807669e+00,9.670410419009664027e-01,1.470090052243859358e+00,1.406715369440421970e+00,9.669741393329587265e-01
1.123324032978027937e-01,9.657320948278200756e-01,2.199999929378544383e+00,9.683950303409135651e-01,1.530945424173343561e+00,9.630704215205642127e-01,1.469126842888058837e+00,1.406183699954479227e+00,9.629956920392513942e-01
1.261856883066020951e-01,9.616200904571517993e-01,2.200000093421141223e+00,9.645922872367068690e-01,1.530933190230858276e+00,9.586344583451447132e-01,1.468049582053040591e+00,1.405590169850772231e+00,9.585510426408432316e-01
1.417474162926805892e-01,9.570303222559014555e-01,2.199999929378544383e+00,9.603450230596310977e-01,1.530917235995560954e+00,9.536820131455939764e-01,1.466845714667321721e+00,1.404928353642209915e+00,9.535889716187843090e-01
1.592282793341092961e-01,9.519113363053260946e-01,2.199999984059409996e+00,9.556046512043230301e-01,1.530896827532134852e+00,9.481572239223376997e-01,1.465501010233753343e+00,1.404190940649128638e+00,9.480535326777734806e-01
1.788649529057436127e-01,9.462071964249703093e-01,2.200000038740275610e+00,9.503181552882142835e-01,1.530870658941878570e+00,9.419993156820136715e-01,1.464000007161832650e+00,1.403369823436219299e+00,9.418838632670760713e-01
2.009233002565047888e-01,9.398573807908598976e-01,2.199999997729626511e+00,9.444279227782955699e-01,1.530837211737930526e+00,9.351424796768030845e-01,1.462326346966045687e+00,1.402457208417648538e+00,9.350140647316375064e-01
2.257019719633921451e-01,9.327967673663077885e-01,2.199999984059409996e+00,9.378716453637725436e-01,1.530794967433428244e+00,9.275158507830112420e-01,1.460461431628385043e+00,1.401443639576534839e+00,9.273731811106467049e-01
2.535364493970112543e-01,9.249557390141642799e-01,2.199999984059409996e+00,9.305823127088073132e-01,1.530741526819130449e+00,9.190436183744336018e-01,1.458385974839425447e+00,1.400320051196600302e+00,9.188853117413133820e-01
2.848035868435803142e-01,9.162604454717808711e-01,2.200000011399843025e+00,9.224883311363600846e-01,1.530674602041496524e+00,9.096453146918261901e-01,1.456078946631196303e+00,1.399076557374485219e+00,9.094699014924435554e-01
3.199267137797385252e-01,9.066332660671381216e-01,2.200000038740275610e+00,9.135138063899892469e-01,1.530590984031626522e+00,8.992363321354180927e-01,1.453517906588296160e+00,1.397702756992948103e+00,8.990422605920012078e-01
3.593813663804629188e-01,8.959935237135006059e-01,2.199999984059409996e+00,9.035790360629449847e-01,1.530487129653508305e+00,8.877287311531401048e-01,1.450679753489301227e+00,1.396188902211865202e+00,8.875143751939991166e-01
4.037017258596556912e-01,8.842585066906522018e-01,2.200000038740275610e+00,8.926012645371946830e-01,1.530358756774190310e+00,8.750324083507852180e-01,1.447539613958861437e+00,1.394524191783419020e+00,8.747960784262758249e-01
4.534878508128584174e-01,8.713448585288259274e-01,2.199999984059409996e+00,8.804957596377955831e-01,1.530200874633520280e+00,8.610567017866178618e-01,1.444072871027318961e+00,1.392699409225285567e+00,8.607966586494849581e-01
5.094138014816381732e-01,8.571703980429803416e-01,2.199999984059409996e+00,8.671772748584554158e-01,1.530007844583616272e+00,8.457125140632022475e-01,1.440254438842308193e+00,1.390705429195143950e+00,8.454269853648509470e-01
5.722367659350220404e-01,8.416564254303162684e-01,2.199999984059409996e+00,8.525619624028067944e-01,1.529773066268251602e+00,8.289150314638200623e-01,1.436059440923636243e+00,1.388534323827353756e+00,8.286022305325138060e-01
6.428073117284324178e-01,8.247305591722459139e-01,2.200000093421141223e+00,8.365697979184415489e-01,1.529489534401369699e+00,8.105871049033267495e-01,1.431465082977094516e+00,1.386180697973640186e+00,8.102452513384805766e-01
7.220809018385467848e-01,8.063301237654822984e-01,2.199999984059409996e+00,8.191275661940358166e-01,1.529149160509618355e+00,7.906633328070092892e-01,1.426450337745093444e+00,1.383641136281900330e+00,7.902906732056190764e-01
8.111308307896873959e-01,7.864060700331823028e-01,2.200000011399843025e+00,8.001724318278961023e-01,1.528743694147713716e+00,7.690948381498736719e-01,1.420998192225887635e+00,1.380915851935907490e+00,7.686896663069754387e-01
9.111627561154895805e-01,7.649273545880226344e-01,2.199999929378544383e+00,7.796560806073475902e-01,1.528264459694051336e+00,7.458546615761448839e-01,1.415096437191265322e+00,1.378008933458711116e+00,7.454153371043554799e-01
1.023531021899026783e+00,7.418856297077029982e-01,2.199999984059409996e+00,7.575493583153450894e-01,1.527702872636236275e+00,7.209435906035742692e-01,1.408739874640358547e+00,1.374929857990728976e+00,7.204685558486004782e-01
1.149756995397736237e+00,7.173000045205056852e-01,2.199999984059409996e+00,7.338472542075846761e-01,1.527050976103112578e+00,6.943961141012917615e-01,1.401931773584935037e+00,1.371693654054952471e+00,6.938839115170425398e-01
1.291549665014884773e+00,6.912215364293311515e-01,2.199999984059409996e+00,7.085739775557861053e-01,1.526301977396784082e+00,6.662860390156060131e-01,1.394685442805723152e+00,1.368321937603163674e+00,6.657353326134531901e-01
1.450828778495940163e+00,6.637370135325617593e-01,2.199999984059409996e+00,6.817877607902942394e-01,1.525450784524638781e+00,6.367311476814276894e-01,1.387026383630670878e+00,1.364843137054709832e+00,6.361407565617401838e-01
1.629750834620645072e+00,6.349715151360009191e-01,2.200000038740275610e+00,6.535849100818410529e-01,1.524495038770418809e+00,6.058961477173767651e-01,1.378992620096646249e+00,1.361292041720020052e+00,6.052651019244740249e-01
1.830738280295368670e+00,6.050892138066576997e-01,2.199999984059409996e+00,6.241025322889410809e-01,1.523435742335452758e+00,5.739931140174209245e-01,1.370636087178732643e+00,1.357709898953990635e+00,5.733207445639325606e-01
2.056512308348652507e+00,5.742919391807876917e-01,2.200000038740275610e+00,5.935193298337358980e-01,1.522277815117173638e+00,5.412787012346591542e-01,1.362022017779899397e+00,1.354142798434285089e+00,5.405647738170484828e-01
2.310129700083160209e+00,5.428151789811125338e-01,2.199999984059409996e+00,5.620539074799826285e-01,1.521030469269211594e+00,5.080476574471808338e-01,1.353227155798219172e+00,1.350639210327255313e+00,5.072925522421766198e-01
2.595024211399737268e+00,5.109214497992156101e-01,2.200000018234951060e+00,5.299602026311144298e-01,1.519707674870697023e+00,4.746226077711679370e-01,1.344337762644683298e+00,1.347248314776940070e+00,4.738275338810726822e-01
2.915053062825177399e+00,4.788913023527205937e-01,2.200000038740275610e+00,4.975199464893929058e-01,1.518327522161780019e+00,4.413406482940973596e-01,1.335445910224072996e+00,1.344016878943329996e+00,4.405078661996242317e-01
3.274549162877729902e+00,4.470125777020794722e-01,2.199999929378544383e+00,4.650324560916179184e-01,1.516911563532655771e+00,4.085378894546025652e-01,1.326644968652615830e+00,1.340986158381346494e+00,4.076708995024753701e-01
3.678379771828634404e+00,4.155688253473968086e-01,2.199999984059409996e+00,4.328024836313955070e-01,1.515483861938464960e+00,3.765335496360828760e-01,1.318025434459557221e+00,1.338189937050920264e+00,3.756371986093014481e-01
4.132012400115338657e+00,3.848279577958895192e-01,2.199999997729626511e+00,4.011272118272635190e-01,1.514069361056728846e+00,3.456153798170262803e-01,1.309670089251757208e+00,1.335652331668114812e+00,3.446958442421967916e-01
4.641588833612781961e+00,3.550322002828152357e-01,2.199999984059409996e+00,3.702836834672558197e-01,1.512692619881627731e+00,3.160280175529124325e-01,1.301650353792481951e+00,1.333386764044873329e+00,3.150926432710434710e-01
5.214008287999686964e+00,3.263901985011052886e-01,2.199999956718976968e+00,3.405179239989126749e-01,1.511375767828367689e+00,2.879653640182073815e-01,1.294024628289453638e+00,1.331397042860269275e+00,2.870223698447693650e-01
5.857020818056669853e+00,2.990718182509064516e-01,2.200000093421141223e+00,3.120367549101785709e-01,1.510137593641051268e+00,2.615673851010191786e-01,1.286836061396300579e+00,1.329677332963592917e+00,2.606254663699392182e-01
6.579332246575682497e+00,2.732057881001919153e-01,2.200000079750924709e+00,2.850028673627154063e-01,1.508993099969878848e+00,2.369210524441707211e-01,1.280112506424256669e+00,1.328213896873544186e+00,2.359889387552489559e-01
7.390722033525782386e+00,2.488799830415322489e-01,2.199999984059409996e+00,2.595332374258747521e-01,1.507951721679885004e+00,2.140646189006309985e-01,1.273868631157288434e+00,1.326987785340282722e+00,2.131506448497075823e-01
8.302175681319747369e+00,2.261438868819445336e-01,2.199999874697678770e+00,2.357005331920745128e-01,1.507019330253603684e+00,1.929941560841672565e-01,1.268106095414752055e+00,1.325975746166340841e+00,1.921058938825859208e-01
9.326033468832203965e+00,2.050126315192417614e-01,2.199999984059409996e+00,2.135368652152829227e-01,1.506196269881389771e+00,1.736712554879049630e-01,1.262817248281854488e+00,1.325153289947576862e+00,1.728152423291091644e-01
1.047615752789665677e+01,1.854719873988648349e-01,2.199999984059409996e+00,1.930391007970346795e-01,1.505480495667602003e+00,1.560309556387342589e-01,1.257985871105100628e+00,1.324495223478936667e+00,1.552125276461884251e-01
1.176811952434998432e+01,1.674837428646529514e-01,2.199999867862570291e+00,1.741749770817684340e-01,1.504866237362165737e+00,1.399892036071028745e-01,1.253590543666717849e+00,1.323977461911404863e+00,1.392124320690864003e-01
1.321941148466029325e+01,1.509910243471321856e-01,2.200000093421141223e+00,1.568893673584135229e-01,1.504345943023753351e+00,1.254494242883370525e-01,1.249605565877148328e+00,1.323577298703050742e+00,1.247171382887171109e-01
1.484968262254465721e+01,1.359232405998282989e-01,2.199999970389193482e+00,1.411102207566050648e-01,1.503910845921547335e+00,1.123079974946457060e-01,1.246003186978088983e+00,1.323274521937429338e+00,1.116218713827759057e-01
1.668100537200059819e+01,1.222004581158429026e-01,2.200000038740275610e+00,1.267538698924488560e-01,1.503551612422969086e+00,1.004586117087478137e-01,1.242754763043637523e+00,1.323051236144330289e+00,9.981929509607745388e-02
1.873817422860383886e+01,1.097371173501797692e-01,2.200000038740275610e+00,1.137295503128512575e-01,1.503258625444559238e+00,8.979557183577213664e-02,1.239831575699949173e+00,1.322891728265952471e+00,8.920284205441864067e-02
2.104904144512020636e+01,9.844507559986115375e-02,2.200000202782872449e+00,1.019430916999031211e-01,1.503022672832688311e+00,8.021619630507781373e-02,1.237205784225818839e+00,1.322783049818260892e+00,7.966911756737560246e-02
2.364489412645408350e+01,8.823601319524509989e-02,2.199999765335947544e+00,9.129981725851754604e-02,1.502835190321453851e+00,7.162246018439666351e-02,1.234850124343422451e+00,1.322714097970597802e+00,7.111953760619504905e-02
2.656087782946687881e+01,7.902326923534119807e-02,2.200000189112655935e+00,8.170673295675423553e-02,1.502688433627859421e+00,6.392203872003121568e-02,1.232739660208535426e+00,1.322675855280305957e+00,6.346135979868283705e-02
2.983647240283341873e+01,7.072318665573917862e-02,2.200000257463738063e+00,7.307411058624291300e-02,1.502575063398738919e+00,5.702889049755266448e-02,1.230851085881923934e+00,1.322661032196487785e+00,5.660824974659717235e-02
3.351602650938842487e+01,6.325604895170200415e-02,2.200000640229797799e+00,6.531657095166165661e-02,1.502489137288838483e+00,5.086349837273429486e-02,1.229161724309514536e+00,1.322663209999210610e+00,5.048050345054755361e-02
3.764935806792469464e+01,5.654668652235805837e-02,2.200000148102006836e+00,5.835376850111395619e-02,1.502426332672224252e+00,4.535286442199248924e-02,1.227652289715695400e+00,1.322678167637437729e+00,4.500502378162174466e-02
4.229242874389500884e+01,5.052482249893008870e-02,2.200000202782872449e+00,5.211076679899440123e-02,1.502380859052328432e+00,4.043033466427559119e-02,1.226304055501505452e+00,1.322701784927811319e+00,4.011512781163939501e-02
4.750810162102800405e+01,4.512521821945991718e-02,2.200000202782872449e+00,4.651818072281699301e-02,1.502349598469461478e+00,3.603531161708017905e-02,1.225100478295650719e+00,1.322731142590546805e+00,3.575024392661707573e-02
5.336699231206309690e+01,4.028766861863108950e-02,2.200000640229797799e+00,4.151214766730926264e-02,1.502329918879729664e+00,3.211289812159190404e-02,1.224026544765181468e+00,1.322764214758416434e+00,3.185554210299335054e-02
5.994842503189411786e+01,3.595688852247924672e-02,2.200000640229797799e+00,3.703417755463944694e-02,1.502318013942730790e+00,2.861350419543184920e-02,1.223068362494966088e+00,1.322799210577435547e+00,2.838152940570570770e-02
6.734150657750825530e+01,3.208232258686738447e-02,2.199999327889021750e+00,3.303092059573398132e-02,1.502312982689594900e+00,2.549243958913183228e-02,1.222213859129233748e+00,1.322834474253542503e+00,2.528363317219017858e-02
7.564633275546295010e+01,2.861790454819579388e-02,2.200000202782872449e+00,2.945388266047754833e-02,1.502314248095313109e+00,2.270950780502101196e-02,1.221452393775564138e+00,1.322869794951670119e+00,2.252178747216770915e-02
8.497534359086442635e+01,2.552178554753625761e-02,2.200000968314991923e+00,2.625911071490216742e-02,1.502316880139207278e+00,2.022861216249682847e-02,1.220772687022944503e+00,1.322903819007871906e+00,2.006003318295457305e-02
9.545484566618341660e+01,2.275604650083962177e-02,2.200000858953260696e+00,2.340686488661547493e-02,1.502323399509468471e+00,1.801738068550062799e-02,1.220167954452252790e+00,1.322936338152433278e+00,1.786613834186745464e-02
1.072267222010323167e+02,2.028640557675664979e-02,2.199999109165559297e+00,2.086128910207141196e-02,1.502330404795525709e+00,1.604681383015416074e-02,1.219628494896194848e+00,1.322967531930097085e+00,1.591124228529094964e-02
1.204503540258783545e+02,1.808192883334647227e-02,2.200000640229797799e+00,1.859008867736222648e-02,1.502338908321952937e+00,1.429095710707262157e-02,1.219148604925587076e+00,1.322996546811772367e+00,1.416952573420404704e-02
1.353047774579807481e+02,1.611474965217585265e-02,2.200000858953260696e+00,1.656422053375106174e-02,1.502349618715953294e+00,1.272659928224761927e-02,1.218720658356363451e+00,1.323023532178606132e+00,1.261790727104372678e-02
1.519911082952933157e+02,1.435980077982934588e-02,2.199997578101320350e+00,1.475759967363154956e-02,1.502359316785379262e+00,1.133299590698033654e-02,1.218337890845454741e+00,1.323048359460580858e+00,1.123576559048000689e-02
1.707352647470692091e+02,1.279456138739254456e-02,2.200000640229797799e+00,1.314682404464218024e-02,1.502366038620555067e+00,1.009161731274543783e-02,1.217998682018333945e+00,1.323071170238993677e+00,1.000468676775856380e-02
1.917910261672488730e+02,1.139882050928986423e-02,2.199999327889021750e+00,1.171091881943975288e-02,1.502376161866301851e+00,8.985919822129817547e-03,1.217697770668146884e+00,1.323092600159429644e+00,8.908235083126214704e-03
2.154434690031886532e+02,1.015445744771614756e-02,2.199999327889021750e+00,1.043110033130001391e-02,1.502381668911988433e+00,8.001138705974852883e-03,1.217426792328684559e+00,1.323111445850327916e+00,7.931745862583383655e-03
2.420128264794383313e+02,9.045239167080554310e-03,2.199997578101320350e+00,9.290559347416627034e-03,1.502397218217455865e+00,7.124101310705954759e-03,1.217186481971987089e+00,1.323128690599729040e+00,7.062138688312957768e-03
2.718588242732940330e+02,8.056634305438681309e-03,2.200001105017156178e+00,8.274263005676019134e-03,1.502399819891612864e+00,6.343058757634523204e-03,1.216974096096245850e+00,1.323144468975106847e+00,6.287749319588975538e-03
3.053855508833418639e+02,7.175643158167321900e-03,2.200004577252125948e+00,7.368774470682515343e-03,1.502411431254484953e+00,5.647534609062976330e-03,1.216783937107801972e+00,1.323159189554970361e+00,5.598178703259293343e-03
3.430469286314919373e+02,6.390642812482472124e-03,2.200001077676723149e+00,6.562089245874425103e-03,1.502413410349028311e+00,5.028189056939025292e-03,1.216614148078493995e+00,1.323172814385980001e+00,4.984157523637344767e-03
3.853528593710527161e+02,5.691246505955760426e-03,2.200000202782872449e+00,5.843486990795954128e-03,1.502417302737018012e+00,4.476697104715210429e-03,1.216466439911767727e+00,1.323183460135107126e+00,4.437424831762681876e-03
4.328761281083061476e+02,5.068176229339194094e-03,2.200001077676723149e+00,5.203397673552601077e-03,1.502427992884526775e+00,3.985639474714641750e-03,1.216330897739985817e+00,1.323194014816466479e+00,3.950619400810984061e-03
4.862601580065353346e+02,4.513147579442433610e-03,2.199999327889021750e+00,4.633280900497194210e-03,1.502432204154757533e+00,3.548404971553287268e-03,1.216209735638919209e+00,1.323204172524432565e+00,3.517182513419481182e-03
5.462277217684347761e+02,4.018765880500207999e-03,2.200001077676723149e+00,4.125517301852621443e-03,1.502432204154757533e+00,3.159103165907506394e-03,1.216099039932469594e+00,1.323211906378721547e+00,3.131271127637447194e-03
6.135907273413175744e+02,3.578432624032901188e-03,2.199999327889021750e+00,3.673310904600324278e-03,1.502447753460224744e+00,2.812486355810994709e-03,1.216006667284252440e+00,1.323219930014849277e+00,2.787680239380918579e-03
6.892612104349694846e+02,3.186261321333372365e-03,2.200001077676723149e+00,3.270601486258684076e-03,1.502447105572497055e+00,2.503879856256219227e-03,1.215926685052671319e+00,1.323226422407252301e+00,2.481773586691993216e-03
7.742636826811277615e+02,2.837001914618664244e-03,2.199994078525917995e+00,2.911985970609931584e-03,1.502449697123408257e+00,2.229119756176789480e-03,1.215851747509939740e+00,1.323233108846524786e+00,2.209421791424359682e-03
8.697490026177833897e+02,2.525972949090959929e-03,2.200000640229797799e+00,2.592647995890651202e-03,1.502451650909837344e+00,1.984497364205584091e-03,1.215778395126661859e+00,1.323238510698289794e+00,1.966947164723897856e-03
9.770099572992246522e+02,2.249000770119913284e-03,2.200001077676723149e+00,2.308294855052350769e-03,1.502436091481124336e+00,1.766709640775188106e-03,1.215719129513458396e+00,1.323242923364339685e+00,1.751074473118396924e-03
1.097498765493056680e+03,2.002365039058817686e-03,2.200001077676723149e+00,2.055101074911025449e-03,1.502459334453359663e+00,1.572814984065695754e-03,1.215675093938851425e+00,1.323248078675756112e+00,1.558887032752753754e-03
1.232846739442065882e+03,1.782750003017419260e-03,2.200001077676723149e+00,1.829657965298325806e-03,1.502477556295704009e+00,1.400193801221139012e-03,1.215632208605396336e+00,1.323251251995236855e+00,1.387787563789988354e-03
1.384886371393871741e+03,1.587200865445392850e-03,2.200001077676723149e+00,1.628928530000850472e-03,1.502456176000686483e+00,1.246513354427492004e-03,1.215588281799344195e+00,1.323254542121984123e+00,1.235463295536032291e-03
1.555676143930472335e+03,1.413084798129515818e-03,2.199994078525917995e+00,1.450207188090857358e-03,1.502466643436789262e+00,1.109696424174799745e-03,1.215553180676253842e+00,1.323257702500859612e+00,1.099854865851179753e-03
1.747528400007682876e+03,1.258056097600102063e-03,2.200001077676723149e+00,1.291083806864934402e-03,1.502477556295704009e+00,9.878933797244915382e-04,1.215520570702914638e+00,1.323260660963671231e+00,9.791286062379445099e-04
1.963040650040272340e+03,1.120025062111729142e-03,2.199973087908611014e+00,1.149411596213845144e-03,1.502475936576384230e+00,8.794572898254138238e-04,1.215474886208062433e+00,1.323262305835298136e+00,8.716518471174605764e-04
2.205130739903045651e+03,9.971302025311157280e-04,2.199980189586039359e+00,1.023278458768928090e-03,1.502498936590721534e+00,7.829217454642378726e-04,1.215457055680965848e+00,1.323265814701337639e+00,7.759709165655603869e-04
2.477076355991709079e+03,8.877134383671325679e-04,2.199987079375112842e+00,9.109814308572161679e-04,1.502456499944550217e+00,6.969811012702553654e-04,1.215424929146633026e+00,1.323267965243952293e+00,6.907915405878206627e-04
2.782559402207125913e+03,7.902979648799490775e-04,2.200029074279943764e+00,8.110038863571311651e-04,1.502508654906638874e+00,6.204728734600095663e-04,1.215402742532785130e+00,1.323269399174815231e+00,6.149613842501011618e-04
3.125715849688235267e+03,7.035685088470078341e-04,2.199987079375112842e+00,7.219952091173098552e-04,1.502467352063991068e+00,5.523620602507772759e-04,1.215371212653089561e+00,1.323270567344416726e+00,5.474545009536146978e-04
3.511191734215127326e+03,6.263537193047508111e-04,2.200001064006506635e+00,6.427526700798491532e-04,1.502436091481124336e+00,4.917271757967078827e-04,1.215376472330892410e+00,1.323270811562489602e+00,4.873574821910864330e-04
3.944206059437656222e+03,5.576104656697111750e-04,2.199973081073502534e+00,5.722052726513382481e-04,1.502437367010088565e+00,4.377478111887711520e-04,1.215337899762269469e+00,1.323272512394518596e+00,4.338571225277476628e-04
4.430621457583877600e+03,4.964098392030713569e-04,2.199973081073502534e+00,5.093993547324870974e-04,1.502519021110283681e+00,3.896935561755743294e-04,1.215355080113993180e+00,1.323273910156097743e+00,3.862294345893246827e-04
4.977023564332113892e+03,4.419246750810845725e-04,2.199976580648905333e+00,4.534857580442697156e-04,1.502379077361077009e+00,3.469141332512748477e-04,1.215332436594600551e+00,1.323275477716065573e+00,3.438298667242101203e-04
5.590810182512223037e+03,3.934184314955402328e-04,2.199987079375112842e+00,4.037083954893105897e-04,1.502446457684769143e+00,3.088306118199657391e-04,1.215337795913282948e+00,1.323277039108146536e+00,3.060845920130894626e-04
6.280291441834246143e+03,3.502352794779728384e-04,2.200085067486384993e+00,3.593940652519833634e-04,1.502477900486059337e+00,2.749275845013166020e-04,1.215336121610203879e+00,1.323277369051754082e+00,2.724827515441230474e-04
7.054802310718645458e+03,3.117912726402494172e-04,2.200071069184774686e+00,3.199433765301851196e-04,1.502412605550991209e+00,2.447462004566691718e-04,1.215344222466172575e+00,1.323274871895665949e+00,2.425695476375722137e-04
7.924828983539169712e+03,2.775664799545829453e-04,2.200085067486384993e+00,2.848226662255370911e-04,1.502410175972011874e+00,2.178779620425341790e-04,1.215347864832621472e+00,1.323277618099706121e+00,2.159400940393574331e-04
8.902150854450392217e+03,2.470979771653780688e-04,2.199973081073502534e+00,2.535567988941611617e-04,1.502684875306979473e+00,1.939592013091573364e-04,1.215224400230639379e+00,1.323279222195943294e+00,1.922339402515849116e-04
1.000000000000000000e+04,2.199736036274657636e-04,2.200085067486384993e+00,2.257227538571271452e-04,1.502601788767511160e+00,1.726661619527725122e-04,1.215225371854251613e+00,1.323279845997223481e+00,1.711301962097344642e-04
